id,title,year,rating,votes,budget,gross_world_wide,gross_us_canada,opening_weekend_gross,genres,production_companies,wins,nominations,oscars
tt2359024,Blue Ruin,2013,7.1,82K,420000.0,993313.0,258384.0,32608.0,"['Crime', 'Drama', 'Thriller']","['The Lab of Madness', 'Film Science', 'Neighborhood Watch']",0,21,0
tt2333804,The Zero Theorem,2013,6.0,50K,8500000.0,1486506.0,257706.0,83803.0,"['Cyberpunk', 'Comedy', 'Drama', 'Fantasy', 'Mystery', 'Sci-Fi']","['Voltage Pictures', 'Asia & Europe Productions', 'Zanuck Independent']",0,7,0
tt2437954,Singh Saab the Great,2013,5.6,2.6K,300000000.0,388622.0,225668.0,138127.0,"['Action', 'Drama']","['Alumbra Entertainment', 'Pen Movies', 'Shantketan Entertainments']",0,0,0
tt2195548,Prince Avalanche,2013,6.3,21K,725000.0,442313.0,205139.0,36694.0,"['Comedy', 'Drama']","['Muskat Filmed Properties', 'Rough House Pictures', 'Dogfish Pictures']",0,6,0
tt1981107,The Young and Prodigious T.S. Spivet,2013,7.0,20K,33000000.0,9494789.0,173564.0,33658.0,"['Adventure', 'Comedy', 'Drama', 'Family']","['Epithète Films', 'Tapioca Films', 'Filmarto']",0,6,0
tt2553908,"Cinco de Mayo, La Batalla",2013,6.2,951,10000000.0,2794852.0,173472.0,83586.0,"['Drama', 'History', 'War']","['Estudios Splendor Omnia', 'Gala Films']",0,2,0
tt2404555,Copperhead,2013,5.6,1.1K,12000000.0,171740.0,171740.0,55625.0,['Drama'],['Swordspoint Productions'],0,0,0
tt2369154,R... Rajkumar,2013,5.3,7.1K,400000000.0,410495.0,166503.0,124669.0,"['One-Person Army Action', 'Action', 'Crime', 'Romance']","['Eros Worldwide', 'Next Gen Films', 'Rough Copy Films']",0,5,0
tt2465578,Human Capital,2013,7.2,14K,6000000.0,9113941.0,158549.0,21669.0,"['Crime', 'Drama']","['Indiana Production', 'Motorino Amaranto', 'Manny Films']",0,30,0
tt2094890,Mother of George,2013,6.5,1.3K,750000.0,157937.0,157937.0,22500.0,['Drama'],"['Maybach Film Productions', 'Parts and Labor', 'Loveless']",0,10,0
tt2876428,"Good Day, Ramon",2013,7.6,3K,4000000.0,5104868.0,154356.0,51105.0,['Drama'],"['Beanca Films', 'MPN Cologne Film 3', 'Fox International Productions (FIP)']",0,7,0
tt1718898,Snake & Mongoose,2013,5.7,791,3000000.0,152200.0,152200.0,20254.0,"['Biography', 'Sport']","['Entertainment Universe', 'Rhino Films', 'FarWord']",0,0,0
tt2991224,Tangerines,2013,8.1,50K,650000.0,1024132.0,144501.0,5180.0,"['Drama', 'War']","['Allfilm', 'Georgian Film']",0,10,1
tt1821641,The Congress,2013,6.4,20K,34148170.0,758754.0,137815.0,28640.0,"['Animation', 'Drama', 'Sci-Fi']","['Bridgit Folman Film Gang', 'Pandora Filmproduktion', 'Opus Film']",0,13,0
tt1336106,Slaughter Creek,2013,3.1,255,1000000.0,136815.0,136815.0,49392.0,"['Drama', 'Horror']","['Americana Films', 'My Own Worst Enemy', 'Michaelodeon Films']",0,0,0
tt1828959,Make Your Move,2013,5.5,3.4K,15000000.0,1583687.0,125106.0,81172.0,"['Drama', 'Musical', 'Romance']","['CJ Entertainment', 'Robert Cort Productions', 'SM Entertainment']",0,0,0
tt2486682,The Square,2013,8.0,9.5K,1500000.0,124244.0,124244.0,16359.0,"['News', 'Documentary', 'Drama', 'History']","['Noujaim Films', 'Worldview Entertainment', 'Roast Beef Productions']",0,16,1
tt2387513,The Liberator,2013,6.7,5.7K,50000000.0,5082098.0,113067.0,69992.0,"['Biography', 'Drama', 'History']","['Centro Nacional Autónomo de Cinematografía (CNAC)', 'Fundación Villa del Cine', 'Gobierno Bolivariano de Venezuela']",0,3,0
tt1922748,The Investigator,2013,5.4,361,1100000.0,103739.0,103739.0,93690.0,"['Drama', 'Family', 'Sport']","[""Gabriel's Messenger Films"", 'St. Petersburg Clearwater Film Commission']",0,0,0
tt2866360,Coherence,2013,7.2,155K,50000.0,139745.0,102617.0,17000.0,"['Horror', 'Mystery', 'Sci-Fi', 'Thriller']","['Bellanova Films', 'Ugly Duckling Films']",0,6,0
tt2016940,Man of Tai Chi,2013,6.0,41K,25000000.0,5464885.0,100144.0,61054.0,"['Kung Fu', 'Martial Arts', 'Action', 'Drama']","['China Film Group Corporation (CFGC)', 'Company Films', 'Dalian Wanda Group']",0,0,0
tt1924396,The Best Offer,2013,7.8,132K,13500000.0,20919703.0,100035.0,2595.0,"['Crime', 'Drama', 'Mystery', 'Romance', 'Thriller']","['Paco Cinematografica', 'Warner Bros.', 'Warner Bros.']",0,26,0
